date,confirmed_cases
2009-04-24,18
2009-04-26,18
2009-04-27,26
2009-04-28,26
2009-04-29,26
2009-04-30,97
2009-05-01,156
2009-05-02,397
2009-05-03,506
2009-05-04,590
2009-05-05,822
2009-05-06,942
2009-05-07,1112
2009-05-08,1204
2009-05-09,1364
2009-05-10,1626
2009-05-11,1626
2009-05-12,2059
2009-05-13,2059
2009-05-14,2446
2009-05-15,2446
2009-05-16,2895
2009-05-17,2895
2009-05-18,3103
2009-05-19,3648
2009-05-20,3648
2009-05-21,3892
2009-05-22,3892
2009-05-23,3892
2009-05-25,4174
2009-05-26,4174
2009-05-27,4541
2009-05-29,4910
2009-06-01,5029
2009-06-03,5029
2009-06-05,5563
2009-06-08,5717
2009-06-10,5717
2009-06-11,6241
2009-06-12,6241
2009-06-15,6241
2009-06-17,6241
2009-06-19,7624
2009-06-22,7624
2009-06-24,7847
2009-06-26,8279
2009-06-29,8279
2009-07-01,8680
2009-07-03,10262
2009-07-06,10262
